LogOfAreas,Log_X_Index,Outside_X_Index,Pixels_Areas,X_Perimeter,Sum_of_Luminosity,Length_of_Conveyer,SigmoidOfAreas,Minimum_of_Luminosity,Edges_Index,Fault_Type
2.1461,1.2787,0.014,140,52,16601,1362,0.3834,96,0.2323,Healthy
2.7694,1.8976,0.0564,5993,287,541426,1400,1.0,68,0.6613,K_Scatch
3.6366,2.1553,0.1051,4331,214,439309,1360,1.0,47,0.0603,K_Scatch
1.2041,0.9542,0.0066,16,6,2183,1356,0.1483,80,0.8778,Bumps
2.5378,1.1139,0.0096,368,53,37264,1364,0.7147,70,0.766,Dirtiness
2.0414,1.0792,0.0088,110,20,12602,1362,0.3725,101,0.1238,Other_faults
2.1367,0.9031,0.0059,137,21,16692,1362,0.2901,115,0.0443,Dirtiness
2.0864,0.9542,0.0055,122,15,15483,1352,0.3285,97,0.0049,Z_Scratch
2.8998,1.0414,0.0081,793,43,68851,1353,0.999,89,0.2754,Dirtiness
2.4533,1.1461,0.0083,284,24,25231,1356,0.7889,41,0.0,Z_Scratch
2.4609,1.3424,0.0161,289,27,348957,1360,0.5461,95,0.8621,Healthy
2.0756,1.2787,0.0115,119,16,14260,1387,0.2942,29,0.3348,Healthy
4.0391,2.179,0.1077,10941,538,1246740,1402,1.0,40,0.0585,K_Scatch
2.1367,1.0792,0.0089,137,22,15643,1358,0.5162,99,0.5641,Healthy
3.7748,2.248,0.1303,5951,276,688556,1356,1.0,43,0.0604,K_Scatch
2.7316,1.1761,0.0111,540,37,68978,1374,0.9361,56,0.9897,Other_faults
2.0492,0.9542,0.0066,112,20,12693,1354,0.3197,106,0.6773,Dirtiness
2.3444,0.9542,0.0066,221,24,17861,1353,0.4913,73,0.0663,Pastry
4.323,2.4786,0.1806,21054,1089,2155523,1666,1.0,22,0.5184,Bumps
1.9868,0.8451,0.0051,97,13,12775,1364,0.2445,106,0.9048,Healthy
2.2648,1.2041,0.0117,184,28,20124,1362,0.5362,84,0.0931,Other_faults
2.4885,1.301,0.0147,308,50,31583,1364,0.9685,91,0.0,Bumps
3.8125,2.233,0.1261,6519,316,674120,1356,1.0,47,0.0605,K_Scatch
2.8976,1.3222,0.0126,788,67,78455,1692,0.9998,63,0.0133,Pastry
1.2305,0.699,0.0037,17,6,2246,1360,0.1322,109,0.7227,Stains
1.2553,0.8451,0.0052,18,11,2219,1358,0.1384,109,0.2705,Stains
1.2305,0.699,0.0037,17,8,2193,1356,0.14,116,0.4106,Other_faults
2.0792,1.0,0.0072,120,11,11425,1356,0.266,71,0.0192,Z_Scratch
1.7404,0.8451,0.0041,55,10,6074,1687,0.1753,104,0.6009,Pastry
1.5051,0.9031,0.0059,32,6,4643,1360,0.1622,111,0.9003,Stains
1.2041,0.699,0.0037,16,5,2034,1362,0.1262,127,0.5927,Stains
3.7989,2.243,0.1291,6397,274,669161,1356,1.0,41,0.0605,K_Scatch
1.4472,0.8451,0.0052,28,9,3576,1322,0.1965,114,0.3827,Stains
1.2305,0.7782,0.0044,17,6,2167,1358,0.1262,122,0.2599,Stains
4.1775,2.1931,0.1111,15050,865,1751637,1400,1.0,25,0.0557,K_Scatch
1.7404,0.9031,0.0047,55,9,6124,1687,0.1822,110,0.1212,Bumps
3.7563,2.1673,0.1043,5731,310,175110,1356,1.0,38,0.0575,K_Scatch
2.6656,1.5911,0.0287,461,38,63194,1364,0.9491,87,0.7118,Bumps
2.5172,1.3424,0.0161,329,28,34001,1370,0.8299,107,0.0325,Dirtiness
2.8965,1.3802,0.0142,714,51,86329,1396,0.9071,84,0.21,Z_Scratch
1.8389,0.8451,0.0052,69,9,7658,1353,0.1965,145,0.2757,Healthy
1.5441,0.9542,0.0066,35,12,4108,1360,0.2051,120,0.8842,Stains
2.1761,0.9542,0.0066,150,20,17564,1362,0.3068,92,0.3187,Other_faults
2.935,1.1139,0.0077,833,74,86329,1692,0.9996,93,0.1309,Pastry
1.8751,1.3222,0.0155,75,22,9934,1356,0.3663,118,0.9231,Healthy
2.5052,1.0792,0.0071,320,35,32705,1692,0.8952,28,0.0236,Healthy
2.5911,1.0792,0.0071,390,24,40498,1687,0.8299,95,0.9808,Dirtiness
3.7739,2.2355,0.1267,5933,303,618954,1356,1.0,47,0.0605,K_Scatch
1.8389,1.2787,0.0136,69,32,5376,1692,0.3494,77,0.0663,Healthy
2.8507,1.9395,0.0501,712,172,7479,1358,1.0,104,0.6613,Z_Scratch
1.7404,0.7782,0.0044,55,18,6091,1362,0.2359,90,0.0462,Pastry
3.0402,1.3222,0.0124,1097,68,103898,1688,1.0,65,0.0399,Healthy
3.7746,2.233,0.1261,6019,289,649137,1356,1.0,40,0.0605,K_Scatch
1.9912,1.0414,0.0081,98,13,12355,1690,0.2942,56,0.1641,Bumps
1.3424,1.301,0.0147,22,19,2926,1358,0.1322,114,0.7227,Stains
2.1072,1.0792,0.0088,128,20,12587,1356,0.3509,93,0.0,Dirtiness
2.4829,1.0792,0.0088,304,26,28320,1358,0.8513,97,0.071,Dirtiness
2.3222,1.0,0.0074,210,23,22484,1356,0.463,96,0.1711,Z_Scratch
2.0607,0.9542,0.0066,115,11,11931,1373,0.215,93,0.3529,Pastry
1.8261,0.9031,0.0047,67,10,7457,1687,0.1852,89,0.98,Pastry
1.7482,1.3979,0.0148,56,24,6578,1360,0.204,86,0.4141,Other_faults
3.7669,2.2175,0.1215,5885,257,656298,1358,1.0,43,0.0574,K_Scatch
2.2718,1.0,0.0074,189,21,19464,1356,0.4763,81,0.0673,Dirtiness
3.8475,2.248,0.1303,7038,247,735371,1356,1.0,42,0.0575,K_Scatch
0.7782,0.7782,0.0044,6,5,7143,1358,0.1353,128,0.7456,Stains
3.6437,2.1553,0.1051,4403,215,457632,1360,1.0,45,0.0603,K_Scatch
2.7738,1.2787,0.0137,593,98,61208,1362,1.0,103,0.0279,Dirtiness
1.716,1.0,0.0059,52,12,4642,1687,0.2288,81,0.5546,Bumps
2.3054,0.9542,0.0066,202,9,22484,1394,0.556,97,0.7426,Healthy
2.356,1.1139,0.0096,227,16,23865,1358,0.417,82,0.4433,Bumps
3.7989,2.238,0.1274,6277,214,688430,1358,1.0,43,0.0604,K_Scatch
3.7865,1.8692,0.0545,6102,235,655912,1362,1.0,61,0.0877,Z_Scratch
2.0864,1.2787,0.0139,122,28,14260,1364,0.4729,120,0.2675,Z_Scratch
2.1139,1.2305,0.0125,130,21,13351,1358,0.2739,113,0.0337,Other_faults
2.847,1.3424,0.0162,695,107,77691,1360,0.9998,68,0.8494,Healthy
3.7989,2.243,0.1291,6397,274,669161,1356,1.0,41,0.0605,K_Scatch
2.2648,1.1139,0.0096,184,28,18402,1364,0.5378,105,0.1441,Dirtiness
2.0334,1.1139,0.0094,108,16,11647,1694,0.2914,84,0.5927,Other_faults
1.5911,1.0,0.0059,39,22,4642,1358,0.1569,132,0.0192,Healthy
4.1875,2.238,0.1237,15208,588,1661835,1398,1.0,35,0.0586,K_Scatch
3.0245,1.3424,0.0162,1058,106,121595,1687,1.0,82,0.6217,Healthy
1.5563,0.9542,0.0015,36,10,4277,1356,0.215,108,0.2438,Pastry
1.8062,0.9542,0.0053,64,14,6884,1690,0.2173,79,0.1395,Pastry
3.7977,2.243,0.1291,6294,247,618937,1356,1.0,43,0.0574,K_Scatch
1.7324,0.8451,0.0052,54,10,6167,1354,0.204,98,0.0325,Healthy
1.7708,0.8451,0.0052,59,14,7659,1687,0.2195,118,0.5809,Bumps
1.9085,1.1461,0.0083,81,15,8995,1650,0.1892,78,0.2318,Dirtiness
2.1367,0.9542,0.0066,137,28,16182,1362,0.3882,110,0.0133,Other_faults
2.9557,1.0792,0.0088,903,90,110993,1364,1.0,101,0.7322,Dirtiness
1.9085,1.2305,0.0103,81,22,8170,1360,0.2482,91,0.8331,Bumps
3.8033,2.238,0.1274,6376,280,658914,1358,1.0,40,0.0604,K_Scatch
2.4683,1.1761,0.011,294,31,34564,1371,0.6268,77,0.2871,Pastry
2.3096,1.1461,0.0103,204,30,23671,1360,0.417,107,0.9295,Other_faults
2.8802,1.7243,0.0322,759,109,83627,1364,0.9998,119,0.2474,Z_Scratch
2.574,1.1761,0.0091,375,47,33449,1654,0.9703,76,0.3137,Bumps
1.0792,0.8451,0.0052,12,7,1528,1358,0.1384,114,0.2298,Stains
2.6222,1.1761,0.0111,419,32,44609,1376,0.9755,103,0.3756,Other_faults
1.8976,1.3424,0.0162,79,31,8995,1356,0.3479,84,0.5041,Healthy
1.2041,0.7782,0.0044,16,6,2015,1366,0.14,114,0.7202,Stains
2.4232,1.1139,0.0094,262,42,27761,1396,0.8173,85,0.5987,Pastry
3.3137,1.4914,0.0227,2059,87,260241,1360,1.0,75,0.1443,Z_Scratch
1.9191,1.4314,0.0164,83,28,10329,1360,0.215,114,0.8076,Stains
2.1367,1.3979,0.0148,137,28,14643,1396,0.5593,107,0.0842,Pastry
2.1673,1.2041,0.0116,147,27,15524,1394,0.3601,89,0.9164,Pastry
2.0253,1.0792,0.0071,106,15,9203,1646,0.2432,64,0.3685,Other_faults
2.0531,1.0792,0.0071,113,14,4712,1692,0.2901,35,0.0071,Bumps
2.2201,1.1461,0.0083,166,23,18656,1354,0.6015,101,0.031,Dirtiness
2.4955,1.1139,0.0096,313,36,21964,1354,0.7955,77,0.0144,Z_Scratch
1.5051,0.9031,0.0047,32,8,3166,1694,0.1551,130,0.7585,Pastry
1.7993,1.5185,0.0244,63,51,6165,1364,0.4284,111,0.9164,Stains
2.143,0.8451,0.0041,139,12,14298,1698,0.3601,76,0.1165,Other_faults
1.8062,1.1139,0.0079,64,24,9671,1353,0.1965,123,0.3015,Other_faults
2.8195,1.2041,0.0117,655,37,68416,1372,0.997,109,0.0618,Other_faults
1.9138,0.9031,0.0059,82,10,8757,1364,0.1934,89,0.8357,Bumps
2.3927,1.2041,0.0118,247,21,25182,1360,0.6781,80,0.5206,Z_Scratch
3.2388,1.4914,0.0228,1733,206,185716,1362,1.0,92,0.9076,Dirtiness
1.8261,0.9542,0.0066,67,11,7881,1692,0.2051,93,0.6532,Bumps
1.6233,0.9542,0.0066,42,12,4304,1358,0.1862,115,0.2298,Stains
2.4683,1.1461,0.0103,294,38,31515,1362,0.633,93,0.9031,Pastry
1.6021,0.8451,0.0053,40,8,4557,1358,0.1659,80,0.3338,Stains
1.9031,1.0414,0.0065,80,11,9432,1686,0.215,85,0.7517,Healthy
2.0569,1.0,0.006,114,13,12808,1687,0.266,87,0.8407,Bumps
2.4116,1.0792,0.0088,258,27,26902,1364,0.5642,77,0.758,Pastry
3.7865,1.8692,0.0545,6102,235,655912,1362,1.0,61,0.0877,Z_Scratch
1.5911,0.9542,0.0066,39,10,3894,1356,0.2051,114,0.7406,Stains
1.2553,0.8451,0.0052,18,7,2310,1360,0.1441,107,0.7158,Stains
2.2878,0.7782,0.0044,192,31,24070,1364,0.7933,106,0.1812,Dirtiness
1.2305,0.9031,0.0059,17,10,2121,1358,0.1417,113,0.5552,Stains
3.813,2.243,0.1291,6376,231,687345,1358,1.0,36,0.0604,K_Scatch
1.7781,1.0,0.0059,60,15,6761,1652,0.2061,77,0.1593,Healthy
2.1703,1.0414,0.0081,150,16,15572,1353,0.3725,91,0.6696,Other_faults
1.8062,0.8451,0.0052,64,32,8535,1354,0.1954,110,0.0302,Z_Scratch
4.0609,2.1847,0.1091,11505,634,1375431,1402,1.0,27,0.0556,K_Scatch
3.7979,2.248,0.1303,6234,257,649139,1358,1.0,39,0.0604,K_Scatch
2.2878,1.1139,0.0096,194,27,22254,1358,0.7174,77,0.013,Healthy
1.9912,1.0414,0.0066,98,18,10137,1356,0.257,81,0.1111,Z_Scratch
1.2041,0.699,0.0037,16,5,2046,1360,0.1322,105,0.8073,Stains
1.6902,0.9031,0.0059,49,12,4834,1690,0.1773,82,0.9003,Bumps
3.5362,1.5441,0.0259,3437,166,379668,1360,1.0,107,0.1825,Other_faults
2.7566,1.6021,0.0294,583,80,68416,1356,0.9999,92,0.3137,Z_Scratch
3.8197,2.1959,0.2175,6519,205,674471,1358,1.0,43,0.0574,Healthy
3.2655,1.4314,0.0199,1851,134,227896,1360,1.0,115,0.8897,Healthy
2.8965,1.1761,0.0111,784,48,67597,1360,0.9998,78,0.2371,Bumps
2.2878,1.1761,0.0089,194,30,19453,1690,0.5951,103,0.4897,Bumps
2.4829,1.1139,0.0096,305,27,34485,1356,0.8612,97,0.7777,Z_Scratch
1.9868,0.8451,0.0051,97,13,12775,1364,0.2445,106,0.9048,Healthy
2.4969,1.5441,0.0258,314,84,40573,1356,0.9537,109,0.0,Z_Scratch
2.143,1.1461,0.0103,139,18,14808,1354,0.3359,84,0.0604,Z_Scratch
2.2577,1.0792,0.0089,181,20,19537,1353,0.7281,90,0.0353,Dirtiness
2.3766,1.1461,0.0083,235,24,27349,1698,0.6221,99,0.0366,Healthy
3.755,2.1903,0.1149,5688,202,600867,1358,1.0,47,0.0574,K_Scatch
1.2305,0.699,0.0037,17,4,2274,1360,0.14,111,0.7599,Stains
2.8162,1.3802,0.0177,655,51,62357,1692,0.9848,95,0.6763,Bumps
2.0453,1.2553,0.0132,111,18,12705,1364,0.3097,96,0.4721,Other_faults
1.9345,1.0,0.0073,86,13,8701,1373,0.215,95,0.0441,Dirtiness
2.7118,1.0414,0.0065,513,26,61966,1692,0.997,79,0.9846,Other_faults
2.1614,1.0792,0.0089,145,11,14320,1692,0.3068,68,0.0133,Bumps
2.017,0.8451,0.0052,104,12,16593,1358,0.2445,95,0.9185,Pastry
2.574,1.1139,0.0096,375,47,38917,1358,0.8682,73,0.0593,Bumps
3.7904,2.233,0.1259,6172,266,648030,1356,1.0,43,0.0605,K_Scatch
3.0938,1.415,0.0191,1241,251,132331,1364,1.0,106,0.9164,Dirtiness
2.3444,1.1761,0.0089,221,18,24697,1687,0.5708,52,0.0948,Bumps
2.1173,1.0792,0.0071,130,14,13351,1358,0.257,93,0.2188,Z_Scratch
2.0569,1.1139,0.0079,114,16,13096,1387,0.257,128,0.8799,K_Scatch
3.8049,2.238,0.1274,6432,280,723643,1358,1.0,44,0.0604,K_Scatch
1.8751,1.3222,0.0155,75,22,9934,1356,0.3663,118,0.9231,Healthy
2.3117,1.1461,0.0083,205,24,21556,1690,0.5362,71,0.1226,Pastry
2.1072,0.699,0.0037,128,16,15385,1356,0.3509,110,0.0325,Dirtiness
4.052,2.1931,0.1113,11211,578,1398637,1402,1.0,33,0.0585,K_Scatch
2.5682,1.2041,0.0118,370,43,39293,1360,0.9708,96,0.0974,Z_Scratch
2.1206,1.1139,0.0095,132,19,13355,1632,0.4089,66,0.065,Pastry
2.0453,1.2787,0.014,111,29,13829,1658,0.3787,116,0.3321,Dirtiness
2.0253,1.1139,0.0086,106,15,13829,1374,0.2914,116,0.5712,Other_faults
3.7859,2.238,0.1276,6108,290,635284,1356,1.0,40,0.0605,K_Scatch
1.8389,0.8451,0.0052,69,15,7143,1356,0.2195,90,0.0705,Pastry
2.5465,1.0414,0.0081,352,58,39648,1360,0.8579,70,0.1277,Healthy
3.8301,2.248,0.1303,6763,263,706929,1358,1.0,38,0.0574,K_Scatch
2.4969,1.0792,0.0088,313,25,35778,1364,0.8299,111,0.9192,Dirtiness
2.233,1.1139,0.0096,171,18,18196,1360,0.2914,122,0.3945,Bumps
2.7259,1.3802,0.0142,532,52,58088,1687,0.9071,97,0.7322,Healthy
2.3944,1.0792,0.0071,248,15,22134,1688,0.6514,59,0.0532,Pastry
2.5832,1.5911,0.0287,383,81,47481,1356,0.9779,95,0.6435,Z_Scratch
3.8,2.243,0.1291,6603,231,685717,1356,1.0,40,0.0574,K_Scatch
2.0899,1.1139,0.0095,123,27,15526,1364,0.3678,108,0.9135,Dirtiness
1.6233,1.0792,0.0088,43,14,5587,1360,0.1773,110,0.7181,Stains
2.3096,1.0414,0.0068,204,11,21691,1694,0.5789,101,0.1458,Pastry
1.7324,1.1139,0.0052,54,14,6135,1360,0.1832,178,0.1493,Healthy
1.2041,0.7782,0.0044,16,6,2034,1358,0.1353,117,0.5567,Stains
3.8236,2.2253,0.1237,6532,296,685717,1356,1.0,33,0.0575,K_Scatch
3.2292,1.4624,0.0213,1669,142,169308,1356,1.0,69,0.0896,Pastry
1.8325,0.9542,0.0066,68,9,7804,1364,0.257,110,0.9456,Dirtiness
3.6992,2.1206,0.0971,5003,179,522331,1362,1.0,42,0.0575,K_Scatch
2.7168,1.2305,0.01,521,56,53617,1687,0.9996,77,0.1443,Dirtiness
2.1399,1.0414,0.0081,138,20,16308,1372,0.4399,107,0.2801,Dirtiness
2.1072,1.1461,0.0103,128,24,16028,1358,0.4399,111,0.7385,Healthy
2.7316,1.2041,0.0118,561,50,61890,1360,0.9474,91,0.6994,Z_Scratch
3.7913,2.248,0.1303,6185,286,640970,1358,1.0,40,0.0574,K_Scatch
3.7646,2.248,0.1303,5499,262,427722,1358,1.0,23,0.0604,K_Scatch
1.5051,0.9031,0.0059,32,6,4643,1360,0.1622,111,0.9003,Stains
1.0792,0.6021,0.003,12,4,1528,1360,0.1292,111,0.8118,Stains
1.2041,0.699,0.0037,16,10,1990,1356,0.1417,111,0.0162,Stains
1.8389,1.2305,0.0125,69,18,8824,1360,0.215,110,0.4468,Bumps
4.1821,2.248,0.125,14875,636,1546189,1400,1.0,25,0.0586,K_Scatch
3.3071,1.8633,0.0316,2059,191,145129,1360,1.0,115,0.1608,K_Scatch
1.7708,0.699,0.0037,59,10,7143,1358,0.1852,117,0.9808,Stains
1.2305,0.699,0.0037,17,5,2183,1360,0.1322,113,0.8809,Stains
3.2865,1.4914,0.0229,1934,106,144769,1392,1.0,104,0.1941,Pastry
2.2577,1.0,0.0074,181,24,20658,1364,0.417,120,0.7265,Pastry
1.0414,0.7782,0.0044,11,8,1398,1358,0.1449,113,0.5546,Stains
1.9085,1.1139,0.0077,81,16,5695,1652,0.257,77,0.1493,Bumps
2.2878,1.2041,0.0095,194,42,23925,1687,0.8183,124,0.1629,Healthy
2.4969,1.2041,0.0118,314,50,31551,1366,0.9474,95,0.9295,Healthy
1.7708,0.8451,0.005,59,11,7181,1358,0.1965,105,0.9337,Pastry
2.7566,1.0,0.0074,571,37,62384,1373,0.9831,97,0.0485,Other_faults
2.1399,1.1461,0.0083,138,17,13836,1356,0.2901,91,0.271,Z_Scratch
3.8061,2.238,0.1276,6430,296,659881,1358,1.0,42,0.0605,K_Scatch
2.8802,1.1761,0.0111,759,44,67967,1356,0.997,51,0.0,Z_Scratch
2.8228,1.0792,0.0071,659,61,50867,1692,0.9992,36,0.0457,Pastry
2.0569,1.0,0.0074,113,13,13662,1360,0.3197,121,0.2518,Healthy
3.616,2.0828,0.0781,4130,181,460547,1688,1.0,60,0.7736,Healthy
2.0334,1.3424,0.0161,108,32,12374,1362,0.3329,105,0.215,Other_faults
2.3927,1.301,0.0148,247,33,23671,1364,0.5296,75,0.1374,Other_faults
2.3201,1.2553,0.0106,209,42,23925,1692,0.5063,104,0.1471,Other_faults
1.2305,0.7782,0.0044,17,6,2183,1358,0.1353,114,0.4436,Stains
1.7324,0.9542,0.0066,54,10,5111,1356,0.215,122,0.2035,Stains
3.5931,2.1239,0.0978,3912,172,349860,1362,1.0,45,0.0707,K_Scatch
1.8692,1.0,0.0073,74,10,7043,1687,0.1852,110,0.0236,Pastry
1.2553,0.7782,0.0044,18,6,2319,1358,0.1353,120,0.8809,Other_faults
1.7324,0.7782,0.0043,54,6,775,1360,0.2195,120,0.4433,Stains
1.2553,0.7782,0.0044,18,6,2370,1358,0.14,113,0.1454,Stains
1.7559,0.9031,0.0059,57,9,6567,1358,0.2018,107,0.003,Z_Scratch
2.0828,1.4771,0.0185,121,47,15529,1364,0.5951,120,0.3002,Dirtiness
2.1004,1.0414,0.0065,126,18,12847,1694,0.257,81,0.6371,Other_faults
3.8197,2.233,0.1261,6605,299,684731,1356,1.0,38,0.0575,K_Scatch
1.716,0.699,0.0037,52,6,5226,1358,0.1322,105,0.3115,Stains
2.7738,1.3617,0.0136,513,63,53525,1694,0.9755,91,0.2979,Other_faults
1.8325,1.1461,0.0103,68,15,7836,1364,0.2901,104,0.2518,Bumps
2.0043,0.9542,0.0066,101,18,11776,1364,0.3097,81,0.0752,Dirtiness
2.4955,1.4314,0.0164,313,49,37460,1360,0.9549,107,0.4564,Z_Scratch
2.0453,1.0414,0.0065,111,18,7384,1696,0.257,81,0.1093,Other_faults
1.2041,0.699,0.0037,16,7,2034,1360,0.1322,110,0.7393,Stains
2.3222,1.415,0.0187,210,32,18480,1364,0.5805,84,0.6572,Bumps
2.3598,1.1139,0.0077,229,20,25182,1666,0.5329,53,0.0896,Healthy
1.2041,0.7782,0.0044,16,8,2034,1358,0.1417,99,0.8026,Stains
1.2041,0.8451,0.0052,16,7,2062,1360,0.1384,111,0.8838,Stains
2.1239,1.3222,0.0155,133,40,16308,1360,0.5903,116,0.071,Bumps
3.8084,2.2455,0.1296,6430,277,669161,1358,1.0,40,0.0574,Healthy
3.7906,2.1959,0.1154,6277,240,626256,1358,1.0,55,0.0604,Other_faults
2.2718,0.9542,0.0066,190,24,19997,1687,0.4025,94,0.9585,Dirtiness
2.4969,1.5563,0.0212,309,83,30361,1356,0.9969,116,0.0189,K_Scatch
1.8865,0.9031,0.006,77,13,5448,1686,0.2901,50,0.0265,Pastry
2.1072,0.9542,0.0053,128,12,15034,1692,0.2051,67,0.0047,Pastry
2.0043,1.0792,0.0089,101,15,9120,1690,0.215,99,0.0842,Other_faults
3.2865,1.9031,0.0556,1939,99,26321,1362,1.0,104,0.9846,Z_Scratch
2.7868,1.1761,0.011,662,38,61209,1362,0.9998,94,0.2094,Dirtiness
3.8377,2.248,0.1303,6596,277,671353,1358,1.0,40,0.0574,K_Scatch
3.8229,2.243,0.1291,6605,302,684731,1356,1.0,42,0.0604,K_Scatch
2.301,1.0,0.0073,200,28,29002,1356,0.6619,114,0.9004,Z_Scratch
2.2923,1.1761,0.0089,196,22,22581,1687,0.7079,61,0.4106,Other_faults
3.8079,2.2279,0.1244,6381,293,674326,1358,1.0,45,0.0604,K_Scatch
4.2013,2.2718,0.1327,15650,591,1730518,1402,1.0,33,0.0585,K_Scatch
2.1072,0.9542,0.0066,128,12,13987,1373,0.2359,87,0.8479,Bumps
2.0569,1.0414,0.0065,114,13,12693,1360,0.2583,88,0.6619,Bumps
1.9685,1.0414,0.0065,93,12,9155,1694,0.2051,91,0.7338,Bumps
2.1239,1.1139,0.0095,133,17,15385,1666,0.7065,103,0.3264,Pastry
4.0965,2.2406,0.1297,12477,280,1377596,1356,1.0,31,0.0575,K_Scatch
2.0969,1.0,0.0073,125,10,11656,1373,0.3359,71,0.1053,Healthy
2.0569,0.9542,0.0066,114,22,13185,1353,0.3882,106,0.4381,Pastry
1.7482,1.4472,0.0133,56,28,5714,1648,0.2173,95,0.5926,Bumps
2.2253,1.5051,0.0236,168,36,16835,1362,0.6514,89,0.4397,Other_faults
1.6021,0.9031,0.0059,40,9,4014,1358,0.1696,90,0.0853,Stains
2.1173,0.9031,0.0059,131,22,15121,1358,0.3834,99,0.8269,Dirtiness
2.1553,1.0792,0.0087,143,9,14742,1373,0.3068,84,0.9779,Dirtiness
2.4216,1.2305,0.0125,264,62,26356,1373,0.7933,81,0.0236,Pastry
2.0756,0.7782,0.0044,119,16,14032,1352,0.215,110,0.0353,Healthy
1.8062,0.9031,0.0047,64,14,7104,1628,0.2532,93,0.7438,Bumps
2.8965,0.7782,0.0044,788,35,84410,1353,0.95,93,0.9164,Dirtiness
2.1239,1.301,0.0147,133,33,16571,1360,0.8299,103,0.4595,Z_Scratch
2.2304,1.1139,0.0096,170,18,21545,1353,0.3479,153,0.8234,Healthy
1.8325,0.8451,0.0043,68,9,7758,1358,0.1892,111,0.6627,Dirtiness
2.9096,1.3802,0.0142,812,99,76438,1688,0.9999,63,0.0015,Bumps
3.845,1.8325,0.0289,6848,166,723643,1358,1.0,43,0.0604,K_Scatch
2.8965,1.1761,0.011,728,42,80541,1364,0.9998,99,0.9164,Dirtiness
2.7152,1.1139,0.0095,519,37,55239,1362,0.9765,68,0.6441,Pastry
2.5132,1.1139,0.0096,326,21,36566,1356,0.9272,86,0.0369,Z_Scratch
1.8062,0.9031,0.0041,64,10,6685,1656,0.1954,81,0.4532,Pastry
2.0212,1.1761,0.0088,105,28,12602,1630,0.4465,107,0.7332,Other_faults
1.2041,0.7782,0.0044,16,6,2076,1358,0.14,110,0.8468,Stains
1.2305,0.8451,0.0052,17,7,2121,1358,0.1384,114,0.8118,Stains
2.4232,0.8451,0.0052,265,22,26849,1353,0.6839,67,0.0353,Other_faults
3.2304,1.2553,0.0133,170,28,178587,1687,0.7844,97,0.1424,Other_faults
2.1303,0.699,0.0037,135,15,15385,1696,0.3285,102,0.2791,Other_faults
4.0449,2.179,0.1077,11089,593,1293558,1402,1.0,31,0.0585,K_Scatch
1.7076,0.8451,0.0041,51,12,7202,1692,0.1622,118,0.7778,Bumps
4.0564,2.1818,0.1083,11388,755,1130960,1404,1.0,36,0.0585,K_Scatch
2.0864,0.9542,0.0066,122,22,14047,1362,0.417,106,0.3877,Bumps
3.3345,1.2041,0.0118,2160,162,202897,1362,1.0,63,0.4632,Z_Scratch
2.0253,1.1461,0.0103,106,14,12693,1358,0.2901,104,0.2863,Healthy
1.5441,0.7782,0.0044,35,6,4585,1360,0.1441,120,0.6627,Stains
1.2305,0.7782,0.0044,17,6,2183,1358,0.1353,114,0.4436,Stains
2.1139,1.1139,0.0077,130,22,12566,1356,0.4946,71,0.0024,Z_Scratch
0.7782,0.8451,0.0052,6,7,8193,1358,0.1232,95,0.4144,Stains
2.7868,1.6233,0.0309,612,91,86424,1692,0.9856,110,0.6775,Healthy
2.8122,2.1271,0.0966,6376,212,676047,1358,1.0,43,0.0842,Healthy
2.7993,1.5185,0.0243,630,67,65563,1356,0.9935,84,0.4351,Bumps
2.1335,0.8451,0.0052,136,14,16891,1353,0.3359,104,0.0296,Dirtiness
2.3927,1.2041,0.0118,247,21,25182,1360,0.6781,80,0.5206,Z_Scratch
1.2041,0.7782,0.0044,16,18,1990,1358,0.2288,102,0.6143,Stains
2.2923,1.1139,0.0095,196,29,21640,1374,0.6679,92,0.1085,Healthy
1.7708,1.2305,0.0103,59,18,7391,1628,0.2482,113,0.7385,Other_faults
3.7532,2.2455,0.1296,5724,325,598575,1356,1.0,56,0.0575,Healthy
1.5051,0.9031,0.0047,32,8,5546,1687,0.1622,105,0.0459,Pastry
1.5051,0.9031,0.0059,32,6,4643,1360,0.1622,111,0.9003,Stains
2.0569,1.1461,0.0102,114,16,12587,1692,0.3097,83,0.5243,Other_faults
1.2041,0.7782,0.0044,16,5,2001,1358,0.14,120,0.2298,Stains
1.9395,1.0,0.0073,87,24,9275,1364,0.2288,91,0.805,Bumps
1.2041,0.699,0.0037,16,5,1961,1358,0.1322,107,0.9144,Stains
2.1553,1.0792,0.0087,143,9,14742,1373,0.3068,84,0.9779,Dirtiness
1.2041,0.7782,0.0044,16,6,2015,1366,0.14,114,0.7202,Stains
4.1267,2.238,0.1238,13387,763,1375431,1358,1.0,36,0.0574,K_Scatch
1.7404,0.9542,0.0067,55,12,6100,1358,0.1773,123,0.9808,Stains
1.8513,1.0414,0.0081,71,16,6782,1358,0.215,99,0.3074,Pastry
1.2305,0.6021,0.0029,17,9,2246,1360,0.1361,114,0.8557,Stains
1.716,0.8451,0.0051,52,8,6994,1356,0.1892,102,0.8118,Bumps
1.9345,1.0414,0.0081,86,12,8824,1364,0.23,81,0.9057,Bumps
2.0569,1.1761,0.0111,114,23,12886,1362,0.3509,107,0.5534,Other_faults
2.5752,1.2041,0.0094,376,29,38401,1372,0.976,108,0.0443,Other_faults
0.9138,0.699,0.0037,82,5,2020,1358,0.1322,106,0.6162,Stains
